Date,Value,predicted_value,PCT
2017-07-08,2502.86,2489.0975875121776,-0.08444225524621017
2017-07-09,2536.238938,2500.7582313265752,-0.08397467990318618
2017-07-10,2366.170143,2534.222416932964,-0.07950832379485129
2017-07-11,2327.09,2363.8694646962376,-0.0972321584974964
2017-07-12,2385.748571,2324.7665338563356,-0.09984427519625447
2017-07-13,2354.783417,2383.478050248284,-0.09517016081725439
2017-07-14,2338.49,2352.498079905488,-0.0970508403453826
2017-07-15,2058.9956,2336.1948097243344,-0.09814838958752832
2017-07-16,1931.2143,2056.3669177229376,-0.12766818331533006
2017-07-17,1910.96,1928.6375252553453,-0.13342769596594292
2017-07-18,2320.12225,1908.3857332036066,-0.13471065832845433
2017-07-19,2264.7657,2317.0906986458576,-0.1306634318145204
2017-07-20,2265.21,2261.710357498962,-0.1349076640041843
2017-07-21,2682.195363,2262.149957395114,-0.13508869397918485
2017-07-22,2807.609857,2682.195362995717,-1.596755631498241e-10
2017-07-23,2825.51,2807.6098518763497,-1.8249153147452118e-07
2017-07-24,2751.821029,2822.6673337745724,-0.10060719039847035
2017-07-25,2560.997917,2748.8344200902934,-0.10853209123095098
2017-07-26,2564.3,2557.6962819093587,-0.12891986630387453
2017-07-27,2647.625,2560.9941404418596,-0.12891859603558797
2017-07-28,2781.636583,2644.4345492734437,-0.12050236444195324
2017-07-29,2784.8,2778.6112357005354,-0.10876141469931755
2017-07-30,2745.955417,2781.792176336437,-0.10800860613197207
2017-07-31,2866.431667,2742.90982838806,-0.11091180115617567
2017-08-01,2862.9,2863.557287308548,-0.10027727939735498
2017-08-02,2693.633983,2860.036008184756,-0.10003813668811118
2017-08-03,2794.117717,2690.475386391793,-0.11726153694754089
2017-08-04,2790.0,2791.065934238972,-0.10922169608174315
2017-08-05,3218.115017,2786.962643698296,-0.10886581726538429
2017-08-06,3252.562533,3215.3326371516123,-0.08645992556790554
2017-08-07,3210.2,3252.562530819699,-6.703332229955256e-08
2017-08-08,3457.374333,3207.3940888747625,-0.08740611566996898
2017-08-09,3357.326317,3454.8044015828377,-0.07433188222151585
2017-08-10,3340.28,3354.5644209057978,-0.08226474978667546
2017-08-11,3632.506667,3337.536785939223,-0.0821252727548907
2017-08-12,3852.802914,3630.0243456591575,-0.06833631892251239
2017-08-13,3868.52,3850.467573195537,-0.060614073872731274
2017-08-14,4282.992,3866.2384779353515,-0.05897661288163097
2017-08-15,4217.028329,4280.833630894411,-0.050393956037960666
2017-08-16,4179.97,4214.843769459522,-0.0518032929836999
2017-08-17,4328.725717,4177.700681059361,-0.05429031645296726
2017-08-18,4130.440067,4326.597144080187,-0.04917319920395987
2017-08-19,4104.71,4130.440056621846,-2.512602491165842e-07
2017-08-20,4157.958033,4102.394408741069,-0.05641302939625231
2017-08-21,4043.722,4155.726725626165,-0.05366353763376427
2017-08-22,3986.28,4043.7219899991815,-2.473171683750193e-07
2017-08-23,4174.95,3983.8841680450873,-0.06010194855636996
2017-08-24,4340.316717,4172.6032131741,-0.056211136083054204
2017-08-25,4331.77,4338.102729792224,-0.05100980762773152
2017-08-26,4360.513317,4329.605603331938,-0.049965641482862234
2017-08-27,4354.308333,4358.340878298973,-0.04982071015716621
2017-08-28,4339.05,4352.119577741492,-0.0502664278944076
2017-08-29,4607.98545,4336.879319767053,-0.05002662409852926
2017-08-30,4594.98785,4607.985440170737,-2.1330933315987412e-07
2017-08-31,4582.52,4594.987849250773,-1.6305313699693674e-08
2017-09-01,4911.740017,4582.519996642785,-7.326132922868431e-08
2017-09-02,4580.38748,4909.817664227653,-0.03913791783957607
2017-09-03,4585.57,4578.1318493737035,-0.04924541070260733
2017-09-04,4344.098317,4583.411096619638,-0.047080371259452206
2017-09-05,4488.72014,4341.592155607789,-0.05769117569009069
2017-09-06,4385.02,4486.352260109196,-0.05275178262292007
2017-09-07,4654.6585,4382.469875888323,-0.05815535873672589
2017-09-08,4310.750183,4652.323235657309,-0.0501704763666466
2017-09-09,4312.26,4307.971709209622,-0.0644545304744347
2017-09-10,4329.955,4309.554362644861,-0.06274290871003871
2017-09-11,4248.090017,4327.243974278679,-0.06261094448604584
2017-09-12,4198.59,4248.090016999507,-1.1625356832985867e-11
2017-09-13,3961.271267,4198.58998849326,-2.740620189258114e-07
2017-09-14,3319.63,3958.1150141148796,-0.07967777696554468
2017-09-15,3216.43,3315.4465266694665,-0.12602227749880607
2017-09-16,3763.62604,3212.281765500546,-0.12897014700937973
2017-09-17,3746.060783,3759.3694417633274,-0.11309833100933545
2017-09-18,3678.53,3741.807310513077,-0.11354520744098866
2017-09-19,3943.413333,3674.2791354939877,-0.11555878315556693
2017-09-20,3977.561667,3939.2795461038536,-0.10482763400816385
2017-09-21,3894.48,3973.4736209996727,-0.10277769001657235
2017-09-22,3637.50255,3890.2989370802798,-0.1073586953770532
2017-09-23,3776.3869,3632.951291800921,-0.12512041260505113
2017-09-24,3777.62,3772.0264741882515,-0.11546554755150824
2017-09-25,3942.555,3773.3318319713953,-0.11351507109250161
2017-09-26,3910.307383,3938.324814548411,-0.10729553428142469
2017-09-27,3881.0,3906.1386197784595,-0.10660960413659386
2017-09-28,4201.98905,3876.7336690949464,-0.10992864996273034
2017-09-29,4193.574667,4197.852585995167,-0.09844061837412962
2017-09-30,4164.27,4189.64572852497,-0.09368948419942391
2017-10-01,4360.722967,4160.350379625068,-0.09412502971547214
2017-10-02,4386.88375,4356.873828743179,-0.08826835104980149
2017-10-03,4394.07,4383.105533545343,-0.08612529234805943
2017-10-04,4225.175,4390.244224462338,-0.08706678632023807
2017-10-05,4338.852,4221.299589724435,-0.09172188786418616
2017-10-06,4318.58,4334.944407582702,-0.09006051410136978
2017-10-07,4376.191667,4318.579998908352,-2.5277945543303825e-08
2017-10-08,4602.280883,4372.441531176661,-0.08569404881459927
2017-10-09,4605.66,4602.280876061708,-1.507576877884421e-07
2017-10-10,4782.28,4602.251936364764,-0.07399729105569064
2017-10-11,4819.485767,4782.279986495865,-2.823785848104556e-07
2017-10-12,4822.17,4815.990747771595,-0.07251850918071191
2017-10-13,5563.806567,4818.89460204843,-0.06792373457530707
2017-10-14,5739.438733,5560.696059953839,-0.05590609609992251
2017-10-15,5825.99,5736.526599401137,-0.05073899616906957
2017-10-16,5711.205867,5823.094603234151,-0.049697935730219245
2017-10-17,5603.71294,5708.146151632764,-0.053573893823640285
2017-10-18,5594.66,5600.761079653212,-0.05267686582797432
2017-10-19,5727.6335,5591.600640417607,-0.05468356580011961
2017-10-20,5979.45984,5724.636455704836,-0.052326048710405526
2017-10-21,5986.44,5979.459838405452,-2.666710524333653e-08
2017-10-22,5983.18455,5983.612913655454,-0.04722483386697157
2017-10-23,5876.079867,5980.388047317594,-0.046739368626124767
2017-10-24,5900.59,5873.195419197106,-0.04908796116086046
2017-10-25,5669.622533,5897.6635864272175,-0.04959527052011106
2017-10-26,5893.138417,5666.575383021066,-0.053745200164522194
